"","repo","user","nationality","coordinates","x","y"
428,"OSGeo/geos","grizonnetm","Toulouse","(43.604652, 1.444209)",1.444209,43.604652
429,"OSGeo/geos","dbaston","Vermont","(44.5588028, -72.5778415)",-72.57784149999999,44.5588028
437,"OSGeo/proj.4","ndavid","Saint-Mandé","(48.842832, 2.4178639)",2.4178639,48.84283199999999
440,"OSGeo/proj.4","busstoptaktik","Copenhagen, Denmark (55N 12E)","(43.8919399, -75.6716827)",-75.67168269999999,43.8919399
441,"OSGeo/proj.4","mraspaud","Norrköping, Sweden","(58.587745, 16.192421)",16.192421,58.587745
442,"OSGeo/proj.4","beuan","Redlands, California","(34.0555693, -117.1825381)",-117.1825381,34.0555693
443,"OSGeo/proj.4","kbevers","Copenhagen, Denmark","(55.6760968, 12.5683372)",12.5683372,55.6760968
446,"OSGeo/proj.4","zsiki","Budapest, Hungary","(47.497912, 19.040235)",19.040235,47.497912
449,"OSGeo/proj.4","tfili","Exton, PA","(40.0325817, -75.6274583)",-75.6274583,40.0325817
451,"OSGeo/proj.4","ioshchepkov","Moscow","(55.755826, 37.6172999)",37.6172999,55.755826
453,"OSGeo/proj.4","moovida","Bolzano","(46.4982953, 11.3547582)",11.3547582,46.4982953
461,"OSGeo/proj.4","drhaynes","UK","(55.378051, -3.435973)",-3.435973,55.378051
465,"OSGeo/proj.4","luqqe","Poland","(51.919438, 19.145136)",19.145136,51.919438
467,"OSGeo/proj.4","mwtoews","Wellington, New Zealand","(-41.2864603, 174.776236)",174.776236,-41.2864603
468,"OSGeo/proj.4","lukecampbell","South Kingstown, RI","(41.4475686, -71.524667)",-71.524667,41.4475686
470,"OSGeo/proj.4","aaronpuchert","Jena, Germany","(50.927054, 11.5892372)",11.5892372,50.927054
